"","anpp","trt_type","n","p","site_code","project_name","treatment_year","calendar_year","plot_id","community_type","block","public","k","precip","successional","pulse","plant_mani"
"142",41.7219501090727,"control",0,0,"sev.nfert","Nfert",6,2009,9,"0","0","1","0","0","0","0","0"
"143",91.3576628210379,"control",0,0,"sev.nfert","Nfert",7,2010,9,"0","0","1","0","0","0","0","0"
"144",18.2225934059122,"control",0,0,"sev.nfert","Nfert",8,2011,9,"0","0","1","0","0","0","0","0"
"145",75.9606090378614,"control",0,0,"sev.nfert","Nfert",9,2012,9,"0","0","1","0","0","0","0","0"
"146",170.499637821361,"control",0,0,"sev.nfert","Nfert",10,2013,9,"0","0","1","0","0","0","0","0"
"147",104.959194986533,"control",0,0,"sev.nfert","Nfert",11,2014,9,"0","0","1","0","0","0","0","0"
"148",102.707975746639,"control",0,0,"sev.nfert","Nfert",12,2015,9,"0","0","1","0","0","0","0","0"
"149",189.87171825913,"control",0,0,"sev.nfert","Nfert",13,2016,9,"0","0","1","0","0","0","0","0"
"150",100.631811502987,"control",0,0,"sev.nfert","Nfert",14,2017,9,"0","0","1","0","0","0","0","0"
"151",50.1828016321577,"control",0,0,"sev.nfert","Nfert",15,2018,9,"0","0","1","0","0","0","0","0"
"152",27.156375,"control",0,0,"sev.nfert","Nfert",16,2019,9,"0","0","1","0","0","0","0","0"
"153",146.290676282051,"control",0,0,"sev.nfert","Nfert",17,2020,9,"0","0","1","0","0","0","0","0"
"154",46.1572576629342,"N",10,0,"sev.nfert","Nfert",1,2004,10,"0","0","1","0","0","0","0","0"
"155",45.9129139712642,"N",10,0,"sev.nfert","Nfert",2,2005,10,"0","0","1","0","0","0","0","0"
"156",510.875307174178,"N",10,0,"sev.nfert","Nfert",3,2006,10,"0","0","1","0","0","0","0","0"
"157",72.878901385239,"N",10,0,"sev.nfert","Nfert",4,2007,10,"0","0","1","0","0","0","0","0"
"158",94.2870117955815,"N",10,0,"sev.nfert","Nfert",5,2008,10,"0","0","1","0","0","0","0","0"
"159",44.1403826748893,"N",10,0,"sev.nfert","Nfert",6,2009,10,"0","0","1","0","0","0","0","0"
"160",103.282664593258,"N",10,0,"sev.nfert","Nfert",7,2010,10,"0","0","1","0","0","0","0","0"
"161",17.1909823486458,"N",10,0,"sev.nfert","Nfert",8,2011,10,"0","0","1","0","0","0","0","0"
"162",107.018577668592,"N",10,0,"sev.nfert","Nfert",9,2012,10,"0","0","1","0","0","0","0","0"
"163",275.425595047208,"N",10,0,"sev.nfert","Nfert",10,2013,10,"0","0","1","0","0","0","0","0"
"164",243.232896335812,"N",10,0,"sev.nfert","Nfert",11,2014,10,"0","0","1","0","0","0","0","0"
"165",123.318147637435,"N",10,0,"sev.nfert","Nfert",12,2015,10,"0","0","1","0","0","0","0","0"
"166",253.035499245507,"N",10,0,"sev.nfert","Nfert",13,2016,10,"0","0","1","0","0","0","0","0"
"167",111.489732736817,"N",10,0,"sev.nfert","Nfert",14,2017,10,"0","0","1","0","0","0","0","0"
"168",67.441114746846,"N",10,0,"sev.nfert","Nfert",15,2018,10,"0","0","1","0","0","0","0","0"
"169",23.8531055607899,"N",10,0,"sev.nfert","Nfert",16,2019,10,"0","0","1","0","0","0","0","0"
"170",90.5634743589744,"N",10,0,"sev.nfert","Nfert",17,2020,10,"0","0","1","0","0","0","0","0"
"171",43.31563715628,"N",10,0,"sev.nfert","Nfert",1,2004,11,"0","0","1","0","0","0","0","0"
"172",48.7369456799461,"N",10,0,"sev.nfert","Nfert",2,2005,11,"0","0","1","0","0","0","0","0"
"173",352.484591582974,"N",10,0,"sev.nfert","Nfert",3,2006,11,"0","0","1","0","0","0","0","0"
"174",201.287969193242,"N",10,0,"sev.nfert","Nfert",4,2007,11,"0","0","1","0","0","0","0","0"
